'110886          counter1
'13180147        counter2
'255             counter3
'2412796         counter4
'110705          N "Strob"
'1               crate->monitor.finish
'300             nrepeat_curr
'0               crate->monitor.rest
1     2               
3     3               
4     5               
5     35              
6     43155           
7     64761           
8     89              
9     74              
10    50              
11    49              
12    72              
13    80              
14    63              
15    72              
16    75              
17    57              
18    67              
19    86              
20    87              
21    86              
22    75              
23    88              
24    91              
25    83              
26    77              
27    84              
28    77              
29    73              
30    76              
31    83              
32    76              
33    51              
34    57              
35    75              
36    64              
37    60              
38    59              
39    43              
40    45              
41    40              
42    32              
43    24              
44    31              
45    21              
46    24              
47    26              
48    22              
49    29              
50    21              
51    11              
52    22              
53    9               
54    10              
55    10              
56    12              
57    5               
58    4               
59    3               
60    2               
61    5               
62    4               
63    2               
64    4               
65    3               
66    4               
67    2               
68    2               
70    2               
71    1               
73    1               
74    1               
75    2               
78    1               
79    2               
81    1               
82    1               
85    1               
92    1               
113   1               
690   1               
