 normMBE,normCUR  30000.00      58.47953    
ID                       2243.     3043.     1444.
MBE                     40000.    30000.    30000.
rMBE                      1.33      1.00      1.00
TIME                      684.      254.      972.
CUR                        58.      118.       31.
rCUR                       1.0       2.0        .5
GAS                     33902.    24424.    26417.
Norm. GAS               25427.    24424.    26417.
Norm. 1 GAS               1.00       .96      1.04
LIV                     17295.    12853.    13235.
Norm. LIV               12971.    12853.    13235.
Norm. 1 LIV               1.00       .99      1.02
NS                      12731.     9661.     9606.
Norm. NS                 9548.     9661.     9606.
Norm. 1 NS                1.00      1.01      1.01
True                    13274.     9759.    10181.
Norm. True               9956.     9759.    10181.
Norm. 1 True              1.00       .98      1.02
Counts                  14595.    11375.    10693.
Norm. Counts            10946.    11375.    10693.
Norm. 1 Counts            1.00      1.04       .98
Delays                   1321.     1616.      512.
Norm. Delays              991.     1616.      512.
Norm. 1 Delays            1.00      1.63       .52
Delays,   %                9.1      14.2       4.8
Clasters, %              104.3     101.0     106.0
N2acc                     343.      494.      144.
Norm. N2acc               457.      494.      144.
Norm. 1 N2acc             1.00      1.08       .31
