       Bin             ASCII      Symbol
     A     10        A      10   
    8D    141        D      13   
    A5    165       25      37      %
    28     40       28      40      (
    A9    169       29      41      )
    A0    160       2C      44      ,
    2D     45       2D      45      -
    2E     46       2E      46      .
    30     48       30      48      0
    B1    177       31      49      1
    B2    178       32      50      2
    33     51       33      51      3
    B4    180       34      52      4
    35     53       35      53      5
    36     54       36      54      6
    B7    183       37      55      7
    B8    184       38      56      8
    39     57       39      57      9
    BD    189       3D      61      =
    41     65       41      65      A
    42     66       42      66      B
    C5    197       45      69      E
    C6    198       46      70      F
    47     71       47      71      G
    C9    201       49      73      I
    CA    202       4A      74      J
    4B     75       4B      75      K
    CC    204       4C      76      L
    4D     77       4D      77      M
    4E     78       4E      78      N
    50     80       50      80      P
    D2    210       52      82      R
    53     83       53      83      S
    D4    212       54      84      T
    D8    216       58      88      X
    59     89       59      89      Y
    5A     90       5A      90      Z
