'111018          counter1
'13103557        counter2
'247             counter3
'2524897         counter4
'110854          N "Strob"
'1               crate->monitor.finish
'300             nrepeat_curr
'0               crate->monitor.rest
1     3               
2     4               
3     7               
4     3               
5     57              
6     47687           
7     61548           
8     91              
9     32              
10    34              
11    39              
12    33              
13    31              
14    41              
15    43              
16    48              
17    43              
18    44              
19    32              
20    52              
21    47              
22    41              
23    41              
24    48              
25    49              
26    39              
27    40              
28    40              
29    31              
30    41              
31    36              
32    37              
33    41              
34    41              
35    47              
36    37              
37    31              
38    26              
39    21              
40    24              
41    24              
42    12              
43    16              
44    19              
45    19              
46    17              
47    10              
48    14              
49    10              
50    5               
51    11              
52    8               
53    7               
54    6               
55    8               
56    2               
57    5               
58    3               
59    2               
60    2               
61    1               
62    2               
63    2               
64    3               
65    1               
66    2               
68    2               
71    1               
72    2               
74    2               
75    3               
76    1               
80    1               
89    1               
